ndc11,ndc11_display,package_ndc_source,product_ndc,ndc9,ndc6,brand_name,generic_name,labeler_name,dosage_form,route,package_description,application_number,spl_setid,rxcui,listing_expiration_date,marketing_start_date,sample,source_count,src_nadac,src_nadac_status,src_sdud,src_sdud_status,src_wac_cur,src_wac_cur_status,src_wac_hist,src_wac_hist_status,src_drugsfda,src_drugsfda_status,src_rxnav,src_rxnav_status,src_dailymed,src_dailymed_status,src_pd_ann,src_pd_ann_status,src_pd_q,src_pd_q_status,src_mc_sp,src_mc_sp_status,src_pb_ann,src_pb_ann_status,src_pb_q,src_pb_q_status,nadac_eff_date,nadac_per_unit,nadac_unit,nadac_otc,nadac_class,nadac_count,sdud_count,sdud_year,sdud_quarter,sdud_states,sdud_units,sdud_rx,sdud_reimb,wac_cur_date,wac_cur_price,wac_hist_date,wac_hist_price,drugsfda_apps,drugsfda_sponsors,drugsfda_approval,rxnav_rxcuis,rxnav_names,dm_spl_count,dm_spl_ids,pd_ann_yr,pd_ann_spend,pd_ann_clm,pd_ann_ben,pd_ann_units,pd_ann_avg_u,pd_ann_avg_c,pd_q_per,pd_q_spend,pd_q_clm,pd_q_ben,pd_q_avg_c,mc_sp_yr,mc_sp_spend,mc_sp_clm,mc_sp_units,mc_sp_avg_u,pb_ann_hcpcs,pb_ann_yr,pb_ann_spend,pb_ann_clm,pb_ann_ben,pb_ann_units,pb_ann_avg_u,pb_q_hcpcs,pb_q_per,pb_q_spend,pb_q_clm,pb_q_ben
00006000101,00006-0001-01,0006-0001-01,0006-0001,000060001,000060,,suvorexant,Merck Sharp & Dohme LLC.,"TABLET, FILM COATED",,"1 BAG in 1 DRUM (0006-0001-01)  / 480000 TABLET, FILM COATED in 1 BAG",,,,20261231,15-AUG-14,,1,0,no_data,0,no_data,0,no_data,0,no_data,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006000201,00006-0002-01,0006-0002-01,0006-0002,000060002,000060,,suvorexant,Merck Sharp & Dohme LLC.,"TABLET, FILM COATED",,"1 BAG in 1 DRUM (0006-0002-01)  / 240000 TABLET, FILM COATED in 1 BAG",,,,20261231,15-AUG-14,,1,0,no_data,0,no_data,0,no_data,0,no_data,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006000301,00006-0003-01,0006-0003-01,0006-0003,000060003,000060,,suvorexant,Merck Sharp & Dohme LLC.,"TABLET, FILM COATED",,"1 BAG in 1 DRUM (0006-0003-01)  / 160000 TABLET, FILM COATED in 1 BAG",,,,20261231,15-AUG-14,,1,0,no_data,0,no_data,0,no_data,0,no_data,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006000401,00006-0004-01,0006-0004-01,0006-0004,000060004,000060,,suvorexant,Merck Sharp & Dohme LLC.,"TABLET, FILM COATED",,"1 BAG in 1 DRUM (0006-0004-01)  / 120000 TABLET, FILM COATED in 1 BAG",,,,20261231,15-AUG-14,,1,0,no_data,0,no_data,0,no_data,0,no_data,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006013801,00006-0138-01,0006-0138-01,0006-0138,000060138,000060,,"IMIPENEM ANHYDROUS, cilastatin, and RELEBACTAM ANHYDROUS",Merck Sharp & Dohme LLC,"INJECTION, POWDER, FOR SOLUTION",,"221 VIAL, SINGLE-DOSE in 1 TRAY (0006-0138-01)  / 20 mL in 1 VIAL, SINGLE-DOSE",,,,20261231,06-JAN-20,,1,0,no_data,0,no_data,0,no_data,0,no_data,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,0,not_queried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006542402,00006-5424-02,0006-5424-02,0006-5424,000065424,000065,ANTIVENIN,Latrodectus mactans,Merck Sharp & Dohme LLC,KIT,,1 KIT in 1 CARTON (0006-5424-02)  *  2.5 mL in 1 VIAL (0006-4084-01)  *  1 mL in 1 VIAL (0006-9011-00),BLA101062,600e54ad-af13-462f-8a2d-2c3f7d91a8cd,,20261231,20141201,False,2,0,no_data,0,no_data,0,no_data,0,no_data,0,query_error,0,no_data,1,hit,0,no_data,0,no_data,0,no_data,0,no_data,0,no_data,,,,,,,,,,,,,,,,,,,,,,,2,600e54ad-af13-462f-8a2d-2c3f7d91a8cd | 6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00006000513,00006-0005-13,0006-0005-13,0006-0005,000060005,000060,BELSOMRA,suvorexant,Merck Sharp & Dohme LLC,"TABLET, FILM COATED",ORAL,"1 BLISTER PACK in 1 CASE (0006-0005-13)  / 3 TABLET, FILM COATED in 1 BLISTER PACK",NDA204569,e5b72731-1acb-45b7-9c13-290ad12d3951,1547104 | 1547110 | 1547112 | 1547114 | 1547116 | 1547118 | 1547573 | 1547575,20261231,20140829,False,7,0,no_data,0,no_data,0,no_data,0,no_data,1,hit,1,hit,1,hit,1,hit,1,hit,1,hit,0,no_data,0,no_data,,,,,,,,,,,,,,,,,,NDA204569,MERCK SHARP DOHME,,1547110 | 1547114 | 1547118 | 1547575,suvorexant 10 MG Oral Tablet [Belsomra] | suvorexant 15 MG Oral Tablet [Belsomra] | suvorexant 20 MG Oral Tablet [Belsomra] | suvorexant 5 MG Oral Tablet [Belsomra],1,e5b72731-1acb-45b7-9c13-290ad12d3951,2023,161202977.6300,329090,86387,10758271,14.9846,489.8447,2025 (Q1-Q2),72398663.7800,144741,48890,500.1900,2023,20343531.6500,50222,1483584,13.7123,,,,,,,,,,,,
00006000530,00006-0005-30,0006-0005-30,0006-0005,000060005,000060,BELSOMRA,suvorexant,Merck Sharp & Dohme LLC,"TABLET, FILM COATED",ORAL,"3 CASE in 1 CARTON (0006-0005-30)  / 1 BLISTER PACK in 1 CASE (0006-0005-10)  / 10 TABLET, FILM COATED in 1 BLISTER PACK",NDA204569,e5b72731-1acb-45b7-9c13-290ad12d3951,1547104 | 1547110 | 1547112 | 1547114 | 1547116 | 1547118 | 1547573 | 1547575,20261231,20140829,False,9,1,hit,1,hit,0,no_data,0,no_data,1,hit,1,hit,1,hit,1,hit,1,hit,1,hit,0,no_data,0,no_data,2025-11-19,14.8756,EA,N,B,50,200,2024,4,43,152656,5076,2093329.8900,,,,,NDA204569,MERCK SHARP DOHME,,1547110 | 1547114 | 1547118 | 1547575,suvorexant 10 MG Oral Tablet [Belsomra] | suvorexant 15 MG Oral Tablet [Belsomra] | suvorexant 20 MG Oral Tablet [Belsomra] | suvorexant 5 MG Oral Tablet [Belsomra],1,e5b72731-1acb-45b7-9c13-290ad12d3951,2023,161202977.6300,329090,86387,10758271,14.9846,489.8447,2025 (Q1-Q2),72398663.7800,144741,48890,500.1900,2023,20343531.6500,50222,1483584,13.7123,,,,,,,,,,,,
00006003313,00006-0033-13,0006-0033-13,0006-0033,000060033,000060,BELSOMRA,suvorexant,Merck Sharp & Dohme LLC,"TABLET, FILM COATED",ORAL,"1 BLISTER PACK in 1 CASE (0006-0033-13)  / 3 TABLET, FILM COATED in 1 BLISTER PACK",NDA204569,e5b72731-1acb-45b7-9c13-290ad12d3951,1547104 | 1547110 | 1547112 | 1547114 | 1547116 | 1547118 | 1547573 | 1547575,20261231,20140829,False,7,0,no_data,0,no_data,0,no_data,0,no_data,1,hit,1,hit,1,hit,1,hit,1,hit,1,hit,0,no_data,0,no_data,,,,,,,,,,,,,,,,,,NDA204569,MERCK SHARP DOHME,,1547110 | 1547114 | 1547118 | 1547575,suvorexant 10 MG Oral Tablet [Belsomra] | suvorexant 15 MG Oral Tablet [Belsomra] | suvorexant 20 MG Oral Tablet [Belsomra] | suvorexant 5 MG Oral Tablet [Belsomra],1,e5b72731-1acb-45b7-9c13-290ad12d3951,2023,161202977.6300,329090,86387,10758271,14.9846,489.8447,2025 (Q1-Q2),72398663.7800,144741,48890,500.1900,2023,20343531.6500,50222,1483584,13.7123,,,,,,,,,,,,
00006003330,00006-0033-30,0006-0033-30,0006-0033,000060033,000060,BELSOMRA,suvorexant,Merck Sharp & Dohme LLC,"TABLET, FILM COATED",ORAL,"3 CASE in 1 CARTON (0006-0033-30)  / 1 BLISTER PACK in 1 CASE (0006-0033-10)  / 10 TABLET, FILM COATED in 1 BLISTER PACK",NDA204569,e5b72731-1acb-45b7-9c13-290ad12d3951,1547104 | 1547110 | 1547112 | 1547114 | 1547116 | 1547118 | 1547573 | 1547575,20261231,20140829,False,9,1,hit,1,hit,0,no_data,0,no_data,1,hit,1,hit,1,hit,1,hit,1,hit,1,hit,0,no_data,0,no_data,2025-11-19,14.8527,EA,N,B,50,200,2024,4,36,783961,27156,10872863.6000,,,,,NDA204569,MERCK SHARP DOHME,,1547110 | 1547114 | 1547118 | 1547575,suvorexant 10 MG Oral Tablet [Belsomra] | suvorexant 15 MG Oral Tablet [Belsomra] | suvorexant 20 MG Oral Tablet [Belsomra] | suvorexant 5 MG Oral Tablet [Belsomra],1,e5b72731-1acb-45b7-9c13-290ad12d3951,2023,161202977.6300,329090,86387,10758271,14.9846,489.8447,2025 (Q1-Q2),72398663.7800,144741,48890,500.1900,2023,20343531.6500,50222,1483584,13.7123,,,,,,,,,,,,
