state_code,state_name,ndc11,ndc11_display,brand_name,product_ndc,product_display,package_display,sdud_status,sdud_record_count,latest_period,period_count,total_units_reimbursed,total_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,ffsu_units,ffsu_prescriptions,ffsu_total_amount,mcou_units,mcou_prescriptions,mcou_total_amount,suppression_flag_present,nadac_latest_per_unit,nadac_effective_date,nadac_pricing_unit,notes
AL,Alabama,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,170668,5730,3194660.4700,3110649.3100,84011.1600,170668,5730,3194660.4700,,,,N,10.5529,2025-11-19,EA,
AK,Alaska,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,29000,980,538850.9000,519509.6300,19341.2700,29000,980,538850.9000,,,,N,10.5529,2025-11-19,EA,
AZ,Arizona,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,410876,9242,7395816.2100,7229698.5500,166117.6600,2370,74,45749.5600,408506,9168,7350066.6500,N,10.5529,2025-11-19,EA,
AR,Arkansas,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,39507,1325,736185.3300,735310.8900,874.4400,30900,1036,575182.6800,8607,289,161002.6500,N,10.5529,2025-11-19,EA,
CA,California,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,4940957,93469,91258172.5800,89850683.9100,1407488.6700,4912815,92411,90704868.2600,28142,1058,553304.3200,N,10.5529,2025-11-19,EA,
CO,Colorado,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,136440,2066,2508237.2100,2464923.4500,43313.7600,136440,2066,2508237.2100,,,,Y,10.5529,2025-11-19,EA,
CT,Connecticut,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,473055,7137,8711674.8100,8580429.6800,131245.1300,473055,7137,8711674.8100,,,,N,10.5529,2025-11-19,EA,
DE,Delaware,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,39424,1312,728626.3800,715541.8100,13084.5700,,,,39424,1312,728626.3800,N,10.5529,2025-11-19,EA,
DC,District of Columbia,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,107677,2203,1865494.8100,994154.5800,871340.2300,10778,253,199444.8900,96899,1950,1666049.9200,N,10.5529,2025-11-19,EA,
FL,Florida,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,564735,17207,10330056.6400,10260759.4500,69297.1900,15313,512,274770.4700,549422,16695,10055286.1700,N,10.5529,2025-11-19,EA,
